--------- beginning of main
04-17 00:58:41.478  8526  8526 I zygote  :   at java.lang.Object java.lang.reflect.Constructor.newInstance0(java.lang.Object[]) (Constructor.java:-2)
04-17 00:58:41.478  8526  8526 I zygote  :   at java.lang.Object java.lang.reflect.Constructor.newInstance(java.lang.Object[]) (Constructor.java:334)
04-17 00:58:41.478  8526  8526 I zygote  :   at android.view.View android.view.LayoutInflater.createView(java.lang.String, java.lang.String, android.util.AttributeSet) (LayoutInflater.java:647)
04-17 00:58:41.478  8526  8526 I zygote  :   at android.view.View android.view.LayoutInflater.createViewFromTag(android.view.View, java.lang.String, android.content.Context, android.util.AttributeSet, boolean) (LayoutInflater.java:790)
04-17 00:58:41.478  8526  8526 I zygote  :   at android.view.View android.view.LayoutInflater.createViewFromTag(android.view.View, java.lang.String, android.content.Context, android.util.AttributeSet) (LayoutInflater.java:730)
04-17 00:58:41.478  8526  8526 I zygote  :   at void android.view.LayoutInflater.rInflate(org.xmlpull.v1.XmlPullParser, android.view.View, android.content.Context, android.util.AttributeSet, boolean) (LayoutInflater.java:863)
04-17 00:58:41.478  8526  8526 I zygote  :   at void android.view.LayoutInflater.rInflateChildren(org.xmlpull.v1.XmlPullParser, android.view.View, android.util.AttributeSet, boolean) (LayoutInflater.java:824)
04-17 00:58:41.478  8526  8526 I zygote  :   at android.view.View android.view.LayoutInflater.inflate(org.xmlpull.v1.XmlPullParser, android.view.ViewGroup, boolean) (LayoutInflater.java:515)
04-17 00:58:41.478  8526  8526 I zygote  :   at android.view.View android.view.LayoutInflater.inflate(int, android.view.ViewGroup, boolean) (LayoutInflater.java:423)
04-17 00:58:41.478  8526  8526 I zygote  :   at android.view.View android.view.LayoutInflater.inflate(int, android.view.ViewGroup) (LayoutInflater.java:374)
04-17 00:58:41.478  8526  8526 I zygote  :   at android.view.ViewGroup android.support.v7.app.AppCompatDelegateImpl.createSubDecor() (AppCompatDelegateImpl.java:607)
04-17 00:58:41.478  8526  8526 I zygote  :   at void android.support.v7.app.AppCompatDelegateImpl.ensureSubDecor() (AppCompatDelegateImpl.java:518)
04-17 00:58:41.478  8526  8526 I zygote  :   at void android.support.v7.app.AppCompatDelegateImpl.setContentView(int) (AppCompatDelegateImpl.java:466)
04-17 00:58:41.478  8526  8526 I zygote  :   at void android.support.v7.app.AppCompatActivity.setContentView(int) (AppCompatActivity.java:140)
04-17 00:58:41.478  8526  8526 I zygote  :   at void edu.washington.minhsuan.activityspy.MainActivity.onCreate(android.os.Bundle) (MainActivity.kt:19)
04-17 00:58:41.478  8526  8526 I zygote  :   at void android.app.Activity.performCreate(android.os.Bundle) (Activity.java:6975)
04-17 00:58:41.478  8526  8526 I zygote  :   at void android.app.Instrumentation.callActivityOnCreate(android.app.Activity, android.os.Bundle) (Instrumentation.java:1213)
04-17 00:58:41.478  8526  8526 I zygote  :   at android.app.Activity android.app.ActivityThread.performLaunchActivity(android.app.ActivityThread$ActivityClientRecord, android.content.Intent) (ActivityThread.java:2770)
04-17 00:58:41.478  8526  8526 I zygote  :   at void android.app.ActivityThread.handleLaunchActivity(android.app.ActivityThread$ActivityClientRecord, android.content.Intent, java.lang.String) (ActivityThread.java:2892)
04-17 00:58:41.478  8526  8526 I zygote  :   at void android.app.ActivityThread.-wrap11(android.app.ActivityThread, android.app.ActivityThread$ActivityClientRecord, android.content.Intent, java.lang.String) (ActivityThread.java:-1)
04-17 00:58:41.478  8526  8526 I zygote  :   at void android.app.ActivityThread$H.handleMessage(android.os.Message) (ActivityThread.java:1593)
04-17 00:58:41.478  8526  8526 I zygote  :   at void android.os.Handler.dispatchMessage(android.os.Message) (Handler.java:105)
